epoch,lr-SGD,lr-SGD-1,lr-SGD-1-momentum,lr-SGD-momentum,step,train/data_time,train/iter_time,train/loss,train/total_loss,val/accuracy,validation/data_time,validation/iter_time
31,,,,,159,,,,,0.6968749761581421,0.02086937427520752,1.7642521858215332
31,,,,,159,0.012829601764678955,11.179035186767578,,,,,
,0.0058,0.0058,0.9,0.9,160,,,,,,,
32,,,,,164,,,0.04775244742631912,0.04775244742631912,,,
32,,,,,164,0.012777984142303467,11.180066108703613,,,,,
,0.0058,0.0058,0.9,0.9,165,,,,,,,
33,,,,,169,,,0.022588437423110008,0.022588437423110008,,,
33,,,,,169,0.0159914493560791,11.164920806884766,,,,,
,0.0058,0.0058,0.9,0.9,170,,,,,,,
34,,,,,174,,,0.05588893964886665,0.05588893964886665,,,
34,,,,,174,0.016006529331207275,11.455008506774902,,,,,
,0.0058,0.0058,0.9,0.9,175,,,,,,,
35,,,,,179,,,0.04133251681923866,0.04133251681923866,,,
35,,,,,179,,,,,0.503125011920929,0.021121740341186523,1.7498705387115479
35,,,,,179,0.014953076839447021,11.34631061553955,,,,,
,0.0029,0.0029,0.9,0.9,180,,,,,,,
36,,,,,184,,,0.04050198569893837,0.04050198569893837,,,
36,,,,,184,0.01580643653869629,11.36283016204834,,,,,
,0.0029,0.0029,0.9,0.9,185,,,,,,,
37,,,,,189,,,0.0747077614068985,0.0747077614068985,,,
37,,,,,189,0.015264034271240234,11.154447555541992,,,,,
,0.0029,0.0029,0.9,0.9,190,,,,,,,
38,,,,,194,,,0.062954381108284,0.062954381108284,,,
38,,,,,194,0.015308022499084473,11.415654182434082,,,,,
,0.0029,0.0029,0.9,0.9,195,,,,,,,
39,,,,,199,,,0.08078473061323166,0.08078473061323166,,,
39,,,,,199,,,,,0.6812499761581421,0.021861135959625244,1.7445929050445557
39,,,,,199,0.015449285507202148,11.175617218017578,,,,,
,0.0029,0.0029,0.9,0.9,200,,,,,,,
40,,,,,204,,,0.033761173486709595,0.033761173486709595,,,
40,,,,,204,0.01150810718536377,11.146041870117188,,,,,
,0.0029,0.0029,0.9,0.9,205,,,,,,,
41,,,,,209,,,0.02362552285194397,0.02362552285194397,,,
41,,,,,209,0.014525949954986572,11.15689754486084,,,,,
,0.0029,0.0029,0.9,0.9,210,,,,,,,
42,,,,,214,,,0.04830770194530487,0.04830770194530487,,,
42,,,,,214,0.01457369327545166,11.1544189453125,,,,,
,0.0029,0.0029,0.9,0.9,215,,,,,,,
43,,,,,219,,,0.06732676178216934,0.06732676178216934,,,
43,,,,,219,,,,,0.987500011920929,0.017403781414031982,1.8787541389465332
43,,,,,219,0.013110995292663574,11.252645492553711,,,,,
,0.0029,0.0029,0.9,0.9,220,,,,,,,
44,,,,,224,,,0.019808661192655563,0.019808661192655563,,,
44,,,,,224,0.016002535820007324,11.217852592468262,,,,,
,0.0029,0.0029,0.9,0.9,225,,,,,,,
45,,,,,229,,,0.0342501625418663,0.0342501625418663,,,
45,,,,,229,0.01476985216140747,11.236978530883789,,,,,
,0.0029,0.0029,0.9,0.9,230,,,,,,,
46,,,,,234,,,0.04139987379312515,0.04139987379312515,,,
46,,,,,234,0.013190209865570068,11.121892929077148,,,,,
,0.0029,0.0029,0.9,0.9,235,,,,,,,
47,,,,,239,,,0.03628198429942131,0.03628198429942131,,,
47,,,,,239,,,,,1.0,0.017105400562286377,1.84286630153656
47,,,,,239,0.013441801071166992,11.13762092590332,,,,,
,0.0029,0.0029,0.9,0.9,240,,,,,,,
48,,,,,244,,,0.03439079225063324,0.03439079225063324,,,
48,,,,,244,0.01795780658721924,11.170296669006348,,,,,
,0.0029,0.0029,0.9,0.9,245,,,,,,,
49,,,,,249,,,0.044371675699949265,0.044371675699949265,,,
49,,,,,249,0.01395261287689209,11.277143478393555,,,,,
,0.0029,0.0029,0.9,0.9,250,,,,,,,
50,,,,,254,,,0.03872999921441078,0.03872999921441078,,,
50,,,,,254,0.017438828945159912,11.269144058227539,,,,,
,0.0029,0.0029,0.9,0.9,255,,,,,,,
51,,,,,259,,,0.042428020387887955,0.042428020387887955,,,
51,,,,,259,,,,,0.9312499761581421,0.016813457012176514,1.815247893333435
51,,,,,259,0.014379799365997314,11.742528915405273,,,,,
,0.0029,0.0029,0.9,0.9,260,,,,,,,
52,,,,,264,,,0.09114079922437668,0.09114079922437668,,,
52,,,,,264,0.014064669609069824,11.278404235839844,,,,,
,0.0029,0.0029,0.9,0.9,265,,,,,,,
53,,,,,269,,,0.043549805879592896,0.043549805879592896,,,
53,,,,,269,0.018154561519622803,11.192399978637695,,,,,
,0.0029,0.0029,0.9,0.9,270,,,,,,,
54,,,,,274,,,0.0284469835460186,0.0284469835460186,,,
54,,,,,274,0.013626396656036377,11.151528358459473,,,,,
,0.0029,0.0029,0.9,0.9,275,,,,,,,
55,,,,,279,,,0.05492975562810898,0.05492975562810898,,,
55,,,,,279,,,,,0.921875,0.01664149761199951,1.7837088108062744
55,,,,,279,0.0204770565032959,11.244952201843262,,,,,
,0.0029,0.0029,0.9,0.9,280,,,,,,,
56,,,,,284,,,0.0060943723656237125,0.0060943723656237125,,,
56,,,,,284,0.020957112312316895,11.307096481323242,,,,,
,0.0029,0.0029,0.9,0.9,285,,,,,,,
57,,,,,289,,,0.025652341544628143,0.025652341544628143,,,
57,,,,,289,0.013207972049713135,11.119012832641602,,,,,
,0.0029,0.0029,0.9,0.9,290,,,,,,,
58,,,,,294,,,0.03368645906448364,0.03368645906448364,,,
58,,,,,294,0.01923811435699463,11.365715026855469,,,,,
,0.0029,0.0029,0.9,0.9,295,,,,,,,
59,,,,,299,,,0.024336688220500946,0.024336688220500946,,,
59,,,,,299,,,,,1.0,0.016070961952209473,1.737562894821167
59,,,,,299,0.01676034927368164,11.25918960571289,,,,,
,0.00145,0.00145,0.9,0.9,300,,,,,,,
