epoch,lr-SGD,lr-SGD-momentum,step,train/data_time,train/iter_time,train/loss,train/total_loss,val/accuracy,validation/data_time,validation/iter_time
,0.01,0.9,0,,,,,,,
0,,,49,,,1.0652782917022705,1.0652782917022705,,,
0,,,57,,,,,0.24468664824962616,0.019231662154197693,0.5110692381858826
0,,,57,0.019418912008404732,3.131201982498169,,,,,
,0.009999999997532599,0.9,58,,,,,,,
1,,,99,,,0.6598057746887207,0.6598057746887207,,,
1,,,115,,,,,0.24468664824962616,0.018939189612865448,0.5089063048362732
1,,,115,0.019993357360363007,3.1215014457702637,,,,,
,0.009999999990130395,0.9,116,,,,,,,
2,,,149,,,0.6205063462257385,0.6205063462257385,,,
2,,,173,,,,,0.24468664824962616,0.018322383984923363,0.4996410012245178
2,,,173,0.01979578100144863,3.134633779525757,,,,,
,0.00999999997779339,0.9,174,,,,,,,
3,,,199,,,0.5412675142288208,0.5412675142288208,,,
3,,,231,,,,,0.24468664824962616,0.018521534278988838,0.5164275765419006
3,,,231,0.019348999485373497,3.161494016647339,,,,,
,0.009999999960521581,0.9,232,,,,,,,
4,,,249,,,0.5493158102035522,0.5493158102035522,,,
4,,,289,,,,,0.24468664824962616,0.018884943798184395,0.5100275874137878
4,,,289,0.02065214328467846,3.1867828369140625,,,,,
,0.009999999938314972,0.9,290,,,,,,,
5,,,299,,,0.6037999987602234,0.6037999987602234,,,
5,,,347,,,,,0.24468664824962616,0.0175261739641428,0.4972037374973297
5,,,347,0.02252575010061264,3.1212000846862793,,,,,
,0.009999999911173561,0.9,348,,,,,,,
6,,,349,,,0.39633429050445557,0.39633429050445557,,,
6,,,399,,,0.5012388825416565,0.5012388825416565,,,
6,,,405,,,,,0.24468664824962616,0.01928994245827198,0.5130128264427185
6,,,405,0.02120840921998024,3.1455330848693848,,,,,
,0.009999999879097348,0.9,406,,,,,,,
7,,,449,,,0.4603291451931,0.4603291451931,,,
7,,,463,,,,,0.24822887778282166,0.019711533561348915,0.5257706046104431
7,,,463,0.019265616312623024,3.1450090408325195,,,,,
,0.009999999842086332,0.9,464,,,,,,,
8,,,499,,,0.445135235786438,0.445135235786438,,,
8,,,521,,,,,0.24359673261642456,0.019194306805729866,0.511800229549408
8,,,521,0.021142611280083656,3.2288284301757812,,,,,
,0.009999999800140512,0.9,522,,,,,,,
9,,,549,,,0.4560939073562622,0.4560939073562622,,,
9,,,579,,,,,0.1741144359111786,0.020257823169231415,0.5194553136825562
9,,,579,0.020003966987133026,3.165583372116089,,,,,
