epoch,lr-SGD,lr-SGD-momentum,step,train/data_time,train/iter_time,train/loss,train/total_loss,val/accuracy,validation/data_time,validation/iter_time
,0.01,0.9,0,,,,,,,
0,,,5,,,0.6188226938247681,0.6188226938247681,,,
0,,,5,0.018254289403557777,2.939629554748535,,,,,
,0.01,0.9,6,,,,,,,
1,,,11,,,0.44480469822883606,0.44480469822883606,,,
1,,,11,0.013871007598936558,2.9108781814575195,,,,,
,0.01,0.9,12,,,,,,,
2,,,17,,,0.3280264437198639,0.3280264437198639,,,
2,,,17,0.014685248956084251,2.9653100967407227,,,,,
,0.01,0.9,18,,,,,,,
3,,,23,,,0.36733752489089966,0.36733752489089966,,,
3,,,23,,,,,0.49572649598121643,0.014052467420697212,0.45546698570251465
3,,,23,0.01348497811704874,2.9087772369384766,,,,,
,0.009999999997532599,0.9,24,,,,,,,
4,,,29,,,0.156657874584198,0.156657874584198,,,
4,,,29,0.01473074872046709,2.978905200958252,,,,,
,0.009999999997532599,0.9,30,,,,,,,
5,,,35,,,0.2554055154323578,0.2554055154323578,,,
5,,,35,0.014856686815619469,3.010255813598633,,,,,
,0.009999999997532599,0.9,36,,,,,,,
6,,,41,,,0.1075599193572998,0.1075599193572998,,,
6,,,41,0.01260707899928093,2.955167531967163,,,,,
,0.009999999997532599,0.9,42,,,,,,,
7,,,47,,,0.1972040832042694,0.1972040832042694,,,
7,,,47,,,,,0.49572649598121643,0.01467839814722538,0.48006314039230347
7,,,47,0.018000109121203423,2.983463764190674,,,,,
,0.009999999990130395,0.9,48,,,,,,,
8,,,53,,,0.08884935826063156,0.08884935826063156,,,
8,,,53,0.011183630675077438,2.9437408447265625,,,,,
,0.009999999990130395,0.9,54,,,,,,,
9,,,59,,,0.04205797612667084,0.04205797612667084,,,
9,,,59,0.01464154478162527,2.9405081272125244,,,,,
,0.009999999990130395,0.9,60,,,,,,,
10,,,65,,,0.08973581343889236,0.08973581343889236,,,
10,,,65,0.011686613783240318,2.925110340118408,,,,,
,0.009999999990130395,0.9,66,,,,,,,
11,,,71,,,0.09192916750907898,0.09192916750907898,,,
11,,,71,,,,,0.49572649598121643,0.017274344339966774,0.4849625825881958
11,,,71,0.013373037800192833,2.939732313156128,,,,,
,0.00999999997779339,0.9,72,,,,,,,
12,,,77,,,0.24027477204799652,0.24027477204799652,,,
12,,,77,0.015676679089665413,3.056241989135742,,,,,
,0.00999999997779339,0.9,78,,,,,,,
13,,,83,,,0.04444585740566254,0.04444585740566254,,,
13,,,83,0.014081805013120174,2.9645442962646484,,,,,
,0.00999999997779339,0.9,84,,,,,,,
14,,,89,,,0.08415539562702179,0.08415539562702179,,,
14,,,89,0.016749601811170578,3.0083866119384766,,,,,
,0.00999999997779339,0.9,90,,,,,,,
15,,,95,,,0.11505144089460373,0.11505144089460373,,,
15,,,95,,,,,0.49572649598121643,0.011131630279123783,0.4665987193584442
15,,,95,0.013663146644830704,3.0100388526916504,,,,,
,0.009999999960521581,0.9,96,,,,,,,
16,,,101,,,0.17461156845092773,0.17461156845092773,,,
16,,,101,0.014828533865511417,3.167837619781494,,,,,
,0.009999999960521581,0.9,102,,,,,,,
17,,,107,,,0.06733955442905426,0.06733955442905426,,,
17,,,107,0.014489462599158287,2.939964771270752,,,,,
,0.009999999960521581,0.9,108,,,,,,,
18,,,113,,,0.07344085723161697,0.07344085723161697,,,
18,,,113,0.018555378541350365,2.9725143909454346,,,,,
,0.009999999960521581,0.9,114,,,,,,,
19,,,119,,,0.01565319485962391,0.01565319485962391,,,
19,,,119,,,,,0.49572649598121643,0.014965062029659748,0.4824318289756775
19,,,119,0.014903629198670387,2.9463109970092773,,,,,
,0.009999999938314972,0.9,120,,,,,,,
20,,,125,,,0.08802063763141632,0.08802063763141632,,,
20,,,125,0.014766566455364227,2.9507782459259033,,,,,
,0.009999999938314972,0.9,126,,,,,,,
21,,,131,,,0.09047058969736099,0.09047058969736099,,,
21,,,131,0.015795907005667686,2.9237756729125977,,,,,
,0.009999999938314972,0.9,132,,,,,,,
22,,,137,,,0.05660441890358925,0.05660441890358925,,,
22,,,137,0.012690980918705463,2.9267749786376953,,,,,
,0.009999999938314972,0.9,138,,,,,,,
23,,,143,,,0.11787116527557373,0.11787116527557373,,,
23,,,143,,,,,0.49572649598121643,0.01638033241033554,0.4824424982070923
23,,,143,0.012302392162382603,2.9921834468841553,,,,,
,0.009999999911173561,0.9,144,,,,,,,
24,,,149,,,0.06576279550790787,0.06576279550790787,,,
24,,,149,0.013954694382846355,2.987534284591675,,,,,
,0.009999999911173561,0.9,150,,,,,,,
25,,,155,,,0.06185149773955345,0.06185149773955345,,,
25,,,155,0.014539030380547047,2.9629569053649902,,,,,
,0.009999999911173561,0.9,156,,,,,,,
26,,,161,,,0.01070705521851778,0.01070705521851778,,,
26,,,161,0.01313888467848301,2.9420409202575684,,,,,
,0.009999999911173561,0.9,162,,,,,,,
27,,,167,,,0.12674061954021454,0.12674061954021454,,,
27,,,167,,,,,0.4159544110298157,0.016195666044950485,0.5124871134757996
27,,,167,0.013683357276022434,2.906465768814087,,,,,
